VIN (1-10);County;City;State;Postal Code;Model Year;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract
JTMAB3FV1M;King;Seattle;WA;98133;2021;141 PRIME;2;1;42;0;36;229479428;POINT (-122.35029 47.71871);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033001701
7SAXCAE53N;Kitsap;Kingston;WA;98346;2022;133;1;2;0;0;23;216916689;POINT (-122.4977 47.79802);PUGET SOUND ENERGY INC;53035090202
7SAYGDEE2R;King;Sammamish;WA;98074;2024;134;1;2;0;0;45;267444005;POINT (-122.02054 47.60326);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032317
5YJ3E1EB8N;King;Seattle;WA;98118;2022;131;1;2;0;0;37;218832974;POINT (-122.2668 47.55115);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033010200
5YJYGDEE6L;King;Sammamish;WA;98029;2020;134;1;1;291;0;5;110140453;POINT (-122.00292 47.54748);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032211
5UXKT0C38H;King;Seattle;WA;98116;2017;27;2;3;14;0;34;219078660;POINT (-122.41067 47.57894);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033009702
7SAYGDEE5P;King;Seattle;WA;98199;2023;134;1;2;0;0;36;241483924;POINT (-122.40092 47.65908);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033005600
5YJSA1E23J;King;Maple Valley;WA;98038;2018;132;1;1;249;0;5;196731762;POINT (-122.04526 47.39394);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032008
2C4RC1S72R;King;Renton;WA;98057;2024;40;2;1;32;0;11;258060099;POINT (-122.20489 47.47532);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033026200
KM8KRDAF2P;Snohomish;Edmonds;WA;98020;2023;63 5;1;2;0;0;21;267247032;POINT (-122.37689 47.81116);PUGET SOUND ENERGY INC;53061050501
5YJSA1H42F;Thurston;Lacey;WA;98516;2015;132;1;1;208;0;22;144012557;POINT (-122.75103 47.08149);PUGET SOUND ENERGY INC;53067012225
5YJ3E1EB4L;King;Sammamish;WA;98074;2020;131;1;1;322;0;45;6293843;POINT (-122.02054 47.60326);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032225
5YJ3E1EC1M;Snohomish;Mill Creek;WA;98012;2021;131;1;2;0;0;44;166994915;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052008
JTDKARFP5J;King;Seattle;WA;98105;2018;140;2;3;25;0;46;209675882;POINT (-122.31307 47.66127);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033004201
5YJ3E1EAXN;King;Seattle;WA;98115;2022;131;1;2;0;0;46;218992035;POINT (-122.31676 47.68156);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033002400
1V2GNPE84P;King;Seattle;WA;98199;2023;146;1;2;0;0;36;225971903;POINT (-122.40092 47.65908);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033005700
5YJ3E1EA9K;King;Issaquah;WA;98027;2019;131;1;1;220;0;41;269435351;POINT (-122.03439 47.5301);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033023404
5YJYGDEE28;King;Seattle;WA;98103;2021;134;1;2;0;0;43;161908834;POINT (-122.35436 47.67596);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033004902
7SAXCBE63P;Snohomish;Lynnwood;WA;98037;2023;133;1;2;0;0;32;240275612;POINT (-122.27734 47.83785);PUGET SOUND ENERGY INC;53061051702
3GN7DPRR9R;Kitsap;Port Orchard;WA;98366;2024;36;1;2;0;0;26;268878837;POINT (-122.63847 47.54103);PUGET SOUND ENERGY INC;53035092300
